datetime,s1_q50_b1r1,s2_q50_b1r1,s3_q50_b1r1,s1_q10_b1r1,s2_q10_b1r1,s3_q10_b1r1,s1_q90_b1r1,s2_q90_b1r1,s3_q90_b1r1
2023-01-25 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 06:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 06:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 06:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 07:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 07:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 07:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 08:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 08:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 08:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 09:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 09:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 10:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 10:30,9.62,8.89,301.81,0.0,0.0,0.1,213.34,221.18,1743.31
2023-01-25 10:45,15.38,13.13,293.22,0.0,0.0,0.1,219.34,225.51,1796.09
2023-01-25 11:00,23.83,18.47,287.12,0.0,0.0,0.1,234.47,229.54,1783.79
